time,min,mean,max,median
1659312000.01,14.808910369873049,14.821521423021952,14.82646942138672,14.82157850265503
1659312060.01,14.813824653625488,14.821492357412977,14.826196670532228,14.821563720703123
1659312120.01,14.809922218322754,14.821532136599222,14.826522827148438,14.821589946746826
1659312180.01,14.815267562866213,14.821413774808248,14.8266019821167,14.821459770202637
1659312240.01,14.810205459594728,14.82126961215337,14.825838088989258,14.82131290435791
1659312300.01,14.80921745300293,14.821276383558908,14.825860977172852,14.821351051330566
1659312360.01,14.810433387756348,14.821284062226614,14.826218605041504,14.821325302124023
1659312420.01,14.816831588745115,14.821427182515462,14.825963973999023,14.821500301361084
1659312480.01,14.810047149658203,14.82148792997996,14.826120376586914,14.821571350097656
1659312540.01,14.809627532958984,14.821439837296804,14.826133728027344,14.821472644805908
1659312600.01,14.812835693359377,14.82145684115092,14.826051712036133,14.821514129638672
1659312660.01,14.810943603515623,14.821309650739034,14.82606315612793,14.821370124816896
1659312720.01,14.816690444946287,14.821239577452342,14.825767517089844,14.8212890625
1659312780.01,14.811769485473633,14.821166511535644,14.826570510864258,14.82122802734375
1659312840.01,14.816368103027344,14.820977865219117,14.82566261291504,14.82103157043457
1659312900.01,14.811328887939451,14.821124284585316,14.825733184814451,14.821195602416992
1659312960.01,14.816518783569336,14.821079999923706,14.825654029846191,14.821126461029053
1659313020.01,14.809783935546877,14.821107388973235,14.82608127593994,14.821168899536133
1659313080.01,14.808452606201172,14.821161269187929,14.826889038085938,14.821186065673828
1659313140.01,14.816644668579102,14.821229327996573,14.82568359375,14.821267127990724
1659313200.01,14.810277938842772,14.821193839550018,14.826112747192385,14.82124662399292
1659313260.01,14.808435440063477,14.821110475699108,14.826019287109377,14.82116413116455
1659313320.01,14.816434860229492,14.82107673851649,14.825590133666992,14.82109832763672
1659313380.01,14.809564590454102,14.8211235370636,14.825563430786133,14.82116985321045
1659313440.01,14.816232681274414,14.821228538831075,14.825431823730469,14.821288108825684
1659313500.01,14.809602737426758,14.821304692109424,14.826250076293944,14.82136344909668
1659313560.01,14.81668472290039,14.821329594135284,14.826129913330078,14.821375370025637
1659313620.01,14.812345504760742,14.821604086081187,14.825937271118164,14.821666717529297
1659313680.01,14.810897827148438,14.821680955251058,14.826545715332031,14.8217453956604
1659313740.01,14.816479682922363,14.821956422805789,14.827030181884766,14.821996212005615
1659313800.01,14.809764862060549,14.82214951022466,14.827199935913086,14.8222017288208
1659313860.01,14.81618881225586,14.822247580369314,14.82734489440918,14.822330474853516
1659313920.01,14.811233520507812,14.822546650886537,14.827165603637695,14.82258129119873
