time,min,mean,max,median
1659312000.01,14.814990997314451,14.825901976585389,14.830620765686035,14.825944423675535
1659312060.01,14.821426391601562,14.825968102931975,14.83049201965332,14.82597827911377
1659312120.01,14.81314182281494,14.825929122447969,14.83115577697754,14.82598066329956
1659312180.01,14.816779136657717,14.8258553425471,14.830148696899414,14.825920104980469
1659312240.01,14.81623649597168,14.82575611337026,14.830177307128906,14.825796604156494
1659312300.01,14.816665649414062,14.825638733704883,14.830606460571287,14.825681686401367
1659312360.01,14.815580368041992,14.825679228464764,14.830150604248049,14.82570505142212
1659312420.01,14.817617416381836,14.825779199759165,14.830341339111328,14.825801849365234
1659312480.01,14.820714950561523,14.825848740736644,14.830378532409668,14.825901985168455
1659312540.01,14.812726974487305,14.82595791721344,14.83047103881836,14.826020240783691
1659312600.01,14.8143949508667,14.82590029001236,14.830442428588867,14.825931549072266
1659312660.01,14.821369171142578,14.825790250142417,14.82998275756836,14.825828552246094
1659312720.01,14.815840721130373,14.82570894940694,14.830636978149414,14.82573652267456
1659312780.01,14.813882827758787,14.825537935098012,14.830398559570312,14.825584411621094
1659312840.01,14.817840576171877,14.82544313987096,14.829923629760742,14.825467586517334
1659312900.01,14.814770698547363,14.82549678182602,14.829936981201172,14.825559616088867
1659312960.01,14.820629119873049,14.82549372212092,14.82986068725586,14.825522422790527
1659313020.01,14.81194019317627,14.825594643115997,14.830577850341797,14.825623512268066
1659313080.01,14.81479549407959,14.825612496852877,14.830419540405272,14.82563543319702
1659313140.01,14.815889358520508,14.82562968635559,14.830528259277344,14.825689315795898
1659313200.01,14.817475318908691,14.825656411806742,14.830406188964844,14.825695991516112
1659313260.01,14.820308685302734,14.82556055911382,14.830005645751951,14.825605392456056
1659313320.01,14.81961441040039,14.825566426595053,14.82992935180664,14.825634479522703
1659313380.01,14.815465927124023,14.825698007583618,14.830836296081545,14.825761795043944
1659313440.01,14.819395065307615,14.825717639605204,14.830266952514648,14.82575273513794
1659313500.01,14.814863204956056,14.82581845442454,14.83079433441162,14.825847625732422
1659313560.01,14.82110595703125,14.825891535917918,14.830270767211914,14.825953006744385
1659313620.01,14.815954208374023,14.82602527809143,14.830480575561523,14.826075077056885
1659313680.01,14.82138729095459,14.826199739774069,14.830812454223633,14.826263427734377
1659313740.01,14.818021774291992,14.826442188898724,14.831789016723633,14.826484203338625
1659313800.01,14.8153076171875,14.82667066001892,14.831306457519531,14.826735019683838
1659313860.01,14.821979522705078,14.826845782279968,14.831445693969728,14.826877117156982
1659313920.01,14.81487274169922,14.827091975212095,14.831903457641602,14.827180862426758
1659313980.01,14.818445205688477,14.827298371315004,14.83180809020996,14.82736873626709
1659314040.01,14.815958023071287,14.827620404879251,14.83250617980957,14.827658653259276
1659314100.01,14.816439628601074,14.827753125031789,14.832388877868652,14.827844142913818
1659314160.01,14.823246002197266,14.827834206581116,14.832244873046877,14.82789659500122
